Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Randomise questionnaire elements?,firstName,firstName-text,firstName-quantised,middleName,middleName-text,middleName-quantised,birthPlace,birthPlace-text,birthPlace-quantised,height,height-text,height-quantised,dob-year,dob-month,dob-day,dob-inmonths,Handedness,Handedness-text,Handedness-quantised,END QUESTIONNAIRE
1,1668163586899,11/11/2022 10:46:26,1668163570058,1,11/11/2022 11:46:10,102467,5,questionnaire-u67w,,25182957,61,7404221,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1739x979,1740x860,,demographicsLab,1,,onlineFirst,168,no_preTest,,No,s,,19,I do not have a middle name,,27,m,,13,"5'5"" - 5'6""",,4,,,,299,Right,,2,55108
1,1668154350684,11/11/2022 08:12:30,1668154350567,1,11/11/2022 09:12:30,102467,5,questionnaire-u67w,,25171663,41,7339257,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,demographicsLab,1,193,chartFirst,,no_preTest,,No,t,,20,s,,19,s,,19,"6'3"" - 6'4""",,9,,,,530,Right,,2,89075
1,1668092537742,10/11/2022 15:02:17,1668092537770,1,10/11/2022 16:02:17,102467,5,questionnaire-u67w,,25159729,57,7402029,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,demographicsLab,1,,onlineFirst,163,no_preTest,,No,t,,20,I do not have a middle name,,27,m,,13,"5'3"" - 5'4""",,3,,,,665,Right,,2,111080
1,1668089235642,10/11/2022 14:07:15,1668089236655,1,10/11/2022 15:07:16,102467,5,questionnaire-u67w,,25158259,64,7431110,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x864,1536x664,,demographicsLab,1,178,chartFirst,,no_preTest,,No,a,,1,v,,22,k,,11,"5'9"" - 5'10""",,6,,,,215,Right,,2,67972
1,1668081643504,10/11/2022 12:00:43,1668081643421,1,10/11/2022 13:00:43,102467,5,questionnaire-u67w,,25155086,40,7339256,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.35,1280x720,1233x609,,demographicsLab,1,,onlineFirst,163,no_preTest,,No,i,,9,I do not have a middle name,,27,l,,12,"5'3"" - 5'4""",,3,,,,400,Right,,2,101895
1,1668076692050,10/11/2022 10:38:12,1668076695735,1,10/11/2022 11:38:15,102467,5,questionnaire-u67w,,25152914,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,demographicsLab,1,183,chartFirst,,no_preTest,,No,f,,6,a,,1,r,,18,"5'11"" - 6'0""",,7,,,,242,Right,,2,43949
1,1668074648140,10/11/2022 10:04:08,1668074649545,1,10/11/2022 11:04:09,102467,5,questionnaire-u67w,,25152209,39,7339254,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1397x786,1397x671,,demographicsLab,1,157,chartFirst,,no_preTest,,No,t,,20,m,,13,s,,19,"5'1"" - 5'2""",,2,,,,305,Right,,2,43203
1,1668072984894,10/11/2022 09:36:24,1668072986195,1,10/11/2022 10:36:26,102467,5,questionnaire-u67w,,25151548,38,7339253,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1244x830,1244x683,,demographicsLab,1,,onlineFirst,152,no_preTest,,No,y,,25,I do not have a middle name,,27,s,,19,"5' 0"" and under",,1,,,,429,Right,,2,74578
1,1668071708968,10/11/2022 09:15:08,1668071708850,1,10/11/2022 10:15:08,102467,5,questionnaire-u67w,,25150802,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,demographicsLab,1,188,chartFirst,,no_preTest,,No,s,,19,j,,10,s,,19,"6'1"" - 6'2""",,8,,,,594,Right,,2,84150
1,1667823758810,07/11/2022 12:22:38,1667823758683,1,07/11/2022 13:22:38,102467,5,questionnaire-u67w,,25067040,56,7372108,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1536x960,1144x830,,demographicsLab,1,,onlineFirst,183,no_preTest,,No,t,,20,I do not have a middle name,,27,o,,15,"5'11"" - 6'0""",,7,,,,402,Right,,2,53812
1,1667822126588,07/11/2022 11:55:26,1667822126478,1,07/11/2022 12:55:26,102467,5,questionnaire-u67w,,25066012,36,7339255,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1274x718,,demographicsLab,1,,,,preTest,188,No,a,,1,a,,1,d,,4,"6'1"" - 6'2""",,8,,,,405,Right,,2,47888
1,1667820924554,07/11/2022 11:35:24,1667820924417,1,07/11/2022 12:35:24,102467,5,questionnaire-u67w,,25065026,35,7339251,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1920x1080,1920x937,,demographicsLab,1,173,chartFirst,,no_preTest,,No,e,,5,I do not have a middle name,,27,o,,15,"5'7"" - 5'8""",,5,,,,362,Right,,2,26742
1,1667817898573,07/11/2022 10:44:58,1667817898481,1,07/11/2022 11:44:58,102467,5,questionnaire-u67w,,25062811,58,7402028,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x837,,demographicsLab,1,,,,preTest,163,No,j,,10,w,,23,m,,13,"5'3"" - 5'4""",,3,,,,240,Right,,2,29975
